airportName,cityName,iso2DigitNationCode,IataCode
도니골 공항,도네갈 카운티,IE,CFN
도네츠크 국제 공항,도네츠크,UA,DOK
동호이 공항,동회,#N/A,VDH
동택 공항,투이호아,#N/A,TBB
동골라 공항,동골라,SS,DOG
동영 셩리 공항,동잉,CN,DOY
도노이 공항,울리아스타이,MN,ULZ
돈이 폴로 공항,아루나찰 프라데시,IO,HGI
두마지 공항,두마지,AU,DMD
도르트문트 공항,도르트문트,DE,DTM
도탄 공항,도선,US,DHN
두알라 국제공항,두알라,CM,DLA
더글러스 찰스 공항,세인트 앤드류 교구,DM,DOM
두라도스 공항,두라도스,BR,DOU
도버 공군기지,도버,US,DOV
닥터 안토니오 니콜라시 브리체뇨 공항,발레라,VE,VLV
아우구스토 로베르토 푸스터 국제 공항,페드로 후안 카발레로,PY,PJC
암베드카 국제공항,나그푸르,IO,NAG
발러 공항,베일러,PH,BQA
닥터 루이스 마리아 아르가냐 국제공항,마리스칼 에스티가리비아,PY,ESG
드레이크 베이 공항,드레이크 베이,CR,DRK
드레이크 필드 공항,페이엣빌,US,FYV
드레스덴 공항,드레스덴,DE,DRS
드라이든 공항,드라이든,CA,YHD
뒤셀도르프 공항,뒤셀도르프,DE,DUS
두바이 크릭 수상비행기 기지,두바이,AE,DCG
두바이 국제 공항,두바이,AE,DXB
더보 시티 공항,더보,AU,DBO
더블린 공항,더블린,IE,DUB
두보이스 공항,듀보이스,US,DUJ
두브로브니크 공항,두브로브니크,HR,DBV
더뷰크 공항,듀뷰크,US,DBQ
덜루스 국제 공항,덜루스,US,DLH
둠카 시도 칸후 공항,둠카,IO,n/a
던디 공항,던디,GB,DND
둔도 공항,둔도,AO,DUE
더니든 국제 공항,더니든,NZ,DUD
둔황 공항,둔황,CN,DNH
덩크 아일랜드 공항,덩크 섬,AU,DKI
뒤페이지 공항,웨스트 시카고,US,DPA
두쿰 국제공항,두쿰,OM,DQM
두랑고 라플라타 카운티 공항,두랑고,US,DRO
두샨베 국제 공항,두샨베,TJ,DYU
두체 공항,두체,NG,n/a
자우지 파만지 국제공항,자우지,YT,DZA
이글 공항,독수리,US,EAA
이글 카운티 공항,베일/이글,US,EGE
이글 리버 유니언 공항,이글 리버,US,EGV
이스트 햄프턴 공항,이스트햄튼,US,HTO
이스트 킴벌리 공항,쿠누누라,AU,KNX
이스트 미들랜드 공항,이스트 미들랜즈,GB,EMA
이스트 텍사스 공항,롱뷰,US,GGG
이스턴 오리건 공항,펜들턴,US,PDT
이스턴 시에라 공항,주교,US,BIH
이스턴 WV 지역 공항,마틴스버그,US,MRB
이스터우드 공항,칼리지 스테이션,US,CLL
이스트메인 리버 공항,이스트메인,CA,ZEM
에본 공항,에본아일랜드,MH,EBO
에보니 추바 오카디그보 국제공항,아바칼리키,NG,n/a
에드 데인 공항,에드 대인,SS,ADV
이데이 공항,이데이,GB,EOI
에든버러 공항,에든버러,GB,EDI
에드먼턴 국제 공항,에드먼턴,CA,YEG
에드먼턴 파크랜드 공항,에드먼턴,CA,n/a
에드문도 카르바할 공항,마카스,EC,XMS
에드나 베이 수상비행기 기지,에드나 베이,US,EDA
에두아르도 팔라 솔라노 공항,산 비센테,CO,SVI
에두아르도 고메스 국제 공항,마나우스,BR,MAO
에드워드 보든 비행장,리틀 케이맨,KY,LYB
에드워드 G. 피트카 시니어 공항,방연광,US,GAL
에드워드 리버 공항,폼푸라우,AU,EDR
에드워즈 공군기지,에드워즈,US,EDW
에크 공항,이크,US,EEK
에게직 공항,에게기크,US,EGX
에질스스타디르 공항,에길스타오이르,IS,EGS
아일슨 공군기지,페어뱅크스,US,EIL
아인트호벤 공항,에인트호벤,NL,EIN
에이루네페 공항,에이루네페,BR,ERN
에진 배너 타오라이 공항,에진 배너,CN,EJN
에쿡 공항,에쿡,US,KKU
엑웍 공항,에크웍,US,KEK
엘 아과카테 공항,엘 아과카테,HN,n/a
엘 알카라반 공항,요팔,CO,EYP
엘 알토 국제 공항,라파스,BO,LPB
엘 아리시 국제공항,엘 아리쉬,EG,AAC
엘 바그레 공항,엘 바그레,CO,EBG
엘 바야드 공항,엘 바야드,DZ,EBH
엘 볼손 공항,엘 볼손,AR,EHL
엘 카라뇨 공항,키브도,CO,UIB
엘도라도 국제 공항,보고타,CO,BOG
엘 에덴 국제 공항,아르메니아,CO,AXM
엘 엠브루호 공항,프로비덴시아 섬,CO,PVA
엘 파셔 공항,엘 파셔,SS,ELF
엘 골레아 공항,엘 골레아,DZ,ELG
엘 히에로 공항,발베르데,ES,VDE
엘 카르가 공항,뉴밸리,EG,UVL
엘 렌세로 공항,할라파,MX,JAL
엘 로아 공항,칼라마,CL,CJC
엘니도 공항,엘니도,PH,ENI
엘 누자 공항,알렉산드리아,EG,ALY
엘 오베이드 공항,엘 오베이드,SS,EBD
엘 팔로마 공항,엘 팔로마,AR,EPA
엘패소 국제 공항,엘파소,US,ELP
엘 포르베니르 공항,엘 포르베니르,PA,PVE
엘 타진 내셔널 공항,포자리카,MX,PAZ
엘 타리 공항,쿠팡,ID,KOE
엘 테우엘체 공항,푸에르토 마드린,AR,PMY
엘 테푸알 공항,푸에르토 몬트,CL,PMC
엘 티그레 공항,엘 티그레,VE,ELX
엘 토르 공항,엘 토르,EG,ELT
엘 트롬필로 공항,산타크루즈,BO,SRZ
엘라지그 공항,엘라지그,TR,EZS
엘초 아일랜드 공항,엘초 섬,AU,ELC
엘도레트 국제 공항,엘도렛,KE,EDL
엘레낙 공항,메하토 섬,MH,EAL
엘핀 코브 수상비행기 기지,엘핀 코브,US,ELV
엘림 공항,엘림,US,ELI
엘리스타 공항,엘리스타,RU,ESL
엘코 공항,엘코,US,EKO
엘링턴 필드,휴스턴,US,EFD
엘리스라스 공항,엘리스라스,ZA,ELL
엘즈워스 공군기지,래피드 시티,US,RCA
엘미라 코닝 지역 공항,엘마이라,US,ELM
엘로이 알파로 국제 공항,만타,EC,MEC
엘로즈 공항,엘로즈 광산,AU,ERQ
엘리 공항,엘리,US,ELY
엠부 공항,엠부,KE,n/a
에메랄드 공항,에메랄드,AU,EMD
엠멘 공군기지,에멘,CH,EML
엠모낙 공항,에모낙,US,EMK
이모 공항,에모,PG,EMO
에나로탈리 공항,에나로탈리,ID,EWI
에네짓 공항,에네짓,MH,EJT
에네웨탁 보조 비행장,에네웨타크,MH,ENT
엔피다 함마메트 국제공항,엔피다,TN,NBE
엥가노 아일랜드 공항,엥가노 섬,ID,n/a
에논테키외 공항,에논테키오,FI,ENF
엔리케 아돌포 히메네스 공항,콜론,PA,ONX
엔리케 말렉 국제 공항,데이비드,PA,DAV
엔스헤데 공항트벤테,엔스헤데,NL,ENS
엔스 쉬자핑 공항,엔시,CN,ENH
엔테베 국제 공항,엔테베,UG,EBB
에누아 공항,아티우 섬,CK,AIU
에피날 미르쿠르 공항,상피내,FR,EPL
에플리 비행장,오마하,US,OMA
에르빌 국제 공항,에르빌,IQ,EBL
에르보가첸 공항,예르보가첸,RU,ERG
에르칸 국제공항,에르칸,CY,ECN
에레킴 공항,에레킴,BR,ERM
에렌호터 사이우스 국제공항,에렌호트,CN,ERL
에르푸르트 바이마르 공항,에르푸르트,DE,ERF
이리 국제공항,에리,US,ERI
에릭 닐슨 화이트호스 국제공항,화이트호스,CA,YXY
에르킬레트 국제공항,카이세리,TR,ASR
어니스트 에이 러브 필드,프레스콧,US,PRC
에르네스토 코르티소스 국제 공항,바랑키야,CO,BAQ
에로스 공항,빈트후크,NA,ERS
에르진칸 공항,에르진잔,TR,ERC
에르주룸 공항,에르주룸,TR,ERZ
에스비에르 공항,에스비에르,DK,EBJ
에센보아 국제공항,앙카라,TR,ESB
에스페란스 공항,에스페란스,AU,EPR
에스켈 공항,에스켈,AR,EQS
에사우이라 모가도르 공항,에사우이라,MA,ESU
에센/뮬하임 공항,에센,DE,ESS
에센돈 공항,멜버른,AU,MEB
에타임스구트 공군기지,앙카라,TR,ANK
우아 공항,에우아,TO,EUA
유진 공항,유진,US,EUG
에우제니오 마리아 데 호스토스 공항,마야게즈,PR,MAZ
에우리코 살레즈 공항,비토리아,BR,VIX
유로에어포트 바젤 뮐루즈 프라이부르크,바젤,CH,BSL
유로에어포트 바젤 뮐루즈 프라이부르크,뮐루즈,FR,MLH
에반스빌 공항,에반스빌,US,EVV
에벨리오 하비에르 공항,고대 미술,PH,EUQ
이워 공항,물병,ID,EWE
Excursion 입구 해저면 기지,소풍,US,EXI
엑서터 국제 공항,엑서터,GB,EXT
엑수마 국제 공항,조지타운,BS,GGT
어저우 화후 공항,이청구,CN,EHU
F.D. 루즈벨트 공항,세인트 유스타티우스,#N/A,EUX
파아 국제 공항,타히티,PF,PPT
파이테 공항,파이테,PF,FAC
파비오 알베르토 레온 벤틀리 공항,미투,CO,MVP
파갈리 공항,아피아,AS,FGI
레이린 공항,파게르네스,NO,VDB
파후드 공항,파후드,OM,FAU
페어 아일 공항,페어 아일,GB,FIE
페어뱅크스 국제 공항,페어뱅크스,US,FAI
페어차일드 공군기지,스포캔,US,SKA
파이살라바드 국제 공항,파이살라바드,PK,LYP
파카히나 공항,파카히나,PF,FHZ
파카라바 공항,파카라바,PF,FAV
팍팍 토레아 공항,팍팍,ID,FKQ
팔람 수르붕 공항,팔람 수르붕,MM,SRU
팔코네 보르셀리노 공항,팔레르모,IT,PMO
팔레올로 국제 공항,아피아,AS,APW
팔군드 수킬룸바 공항,팔구난드,NP,n/a
폴스 국제 공항,인터내셔널 폭포,US,INL
폴스 패스 공항,거짓 패스,US,KFP
페네 공항,신전,PG,FNE
팡가타우 공항,방가타우,PF,FGU
카피탄 FAP 카를로스 마르티네즈 데 피닐로스 공항,트루히요,PE,TRU
카피탄 롤덴 공항,푸칼파,PE,PCL
카피탄 FAP 길레르모 콘i 이베리코 공항,피우라,PE,PIU
커널 루이즈 공항,치클라요,PE,CIX
파라팡가나 공항,파라팡가나,MG,RVA
파라 공항,파라,AF,FAH
파라나 공항,파라나,GQ,FAA
파레스마토다 공항,파레스마아토다,MV,FMT
판버러 공항,판버러,GB,FAB
파로 공항,놀이,PT,FAO
파루카바드 공항,파루카바드,IO,n/a
파사 공항,파사,IR,FAZ
파신 공항,코지 비,MG,NOS
파트마와티 수카르노 공항,벵쿨루,ID,BKS
파야 라조 공항,파야 라르고,TD,FYT
페이엇빌 리저널 공항,페이엣빌,US,FAY
파이자바드 공항,파이자바드,AF,FBD
페데리코 펠리니 국제 공항,리미니,IT,RMI
페데리코 가르시아 로르카 공항,그라나다,ES,GRX
페이라 데 산타나 공항,페이라 데 산타나,BR,FEC
펠릭스 우푸에 부아니 공항,아비장,#N/A,ABJ
펠츠 필드,스포캔,US,SFF
펑닝 공항,펑닝,CN,n/a
페라 공항,페라 섬,SB,FRE
페르디난드 룸반 토빙 공항,시볼가,ID,FLZ
페르가나 국제 공항,페르가나,UZ,FEG
페르난도 데 노로냐 공항,페르난도 드 노로냐,BR,FEN
페르난도 루이스 리바스 도미니치 공항,산후안,PR,SIG
페스 사이스 공항,페즈,MA,FEZ
피아나란초아 공항,피아나란초아,MG,WFI
피가리 수드 코르세 공항,피가리,FR,FSC
피셔맨스 베이/LPS 수상비행기 기지,로페즈 섬,US,LPS
피티우타 공항,피티우타,AS,FTI
피츠로이 크로싱 공항,피츠로이 크로싱,AU,FIZ
플래그스태프 풀리엄 공항,깃대,US,FLG
플라밍고 국제 공항,크랄렌디크,#N/A,BON
플린 플론 공항,플린 플론,CA,YFO
플린더스 아일랜드 공항,플린더스 섬,AU,FLS
피렌체 공항 페레톨라,플로렌스,IT,FLR
피렌체 공항,플로렌스,US,FLO
플로레스 공항,플로레스 섬,PT,FLW
플로리다 키스 마라톤 공항,마라톤,US,MTH
플로로 공항,플로로,NO,FRO
라르 공항,라르,DE,LHA
포지아 공항,포자,IT,FOG
퐁뒤락 공항,퐁뒤락,CA,ZFD
폰테 보아 공항,폰테 보아,BR,FBA
포드 공항,아이언 마운틴,US,IMT
브린절랜드 공항,포드,NO,FDE
포를리 국제공항,포를리,IT,FRL
포르모사 국제공항,대만,AR,FMA
포트 알바니 공항,포트 올버니,CA,YFA
포트 치페위안 공항,포트 치페위안,CA,YPY
포트콜린스 러브랜드 공항,포트 콜린스,US,FNL
포트닷지 공항,포트 도지,US,FOD
포트 프란시스 공항,포트 프랜시스,CA,YAG
포트 굿 호프 공항,포트 굿 호프,CA,YGH
포트 호프 공항,포트 호프,CA,YFH
포트로더데일 이그제큐티브 공항,포트로더데일,US,FXE
포트로더데일 할리우드 국제공항,포트로더데일,US,FLL
포트 맥머리 국제 공항,포트 맥머레이,CA,YMM
포트 맥퍼슨 공항,포트 맥퍼슨,CA,ZFM
포트 레졸루션 공항,포트 레졸루션,CA,YFR
포트 세번 공항,포트 세번,CA,YER
포트 심슨 공항,포트 심슨,CA,YFS
포트 스미스 공항,포트 스미스,CA,YSM
포트 스미스 공항,포트 스미스,US,FSM
포트세인트존 공항,포트 세인트 존,CA,YXJ
포트 밸리 연방 국제 공항,로스 모치스,MX,LMM
포트 웨인 국제 공항,포트 웨인,US,FWA
포트워스 얼라이언스 공항,포트워스,US,AFW
포트워스 미컴 국제공항,포트워스,US,FTW
포트 유콘 공항,포트 유콘,US,FYU
포테스큐 데이브 포레스트 공항,클라우드브레이크,AU,KFE
포산 샤디 공항,포산,CN,FUO
풀라 비행장,풀라,GB,FOA
포코너스 공항,파밍턴,US,FMN
포야 공항,포야,LR,FOY
포스두이구아수 국제공항,포즈 두 이과수,BR,IGU
프랑카 공항,프랑카,BR,FRC
프랑스빌 므벤그 공항,프랑스빌,GA,MVB
프란시스코 알바레스 데 아시스 공항,주이즈 데 포라,BR,JDF
프란시스코 B. 레예스 공항,부수앙가,PH,USU
프란시스코 방고이 국제공항,다바오,PH,DVO
프란시스코 벨트랑 공항,프란시스코 벨트라오,BR,FBE
프란시스코 칼레 공항,자우자,PE,JAU
프란시스코 코레아 다 크루즈 공항,후마이타,BR,HUW
프란시스코 데 오렐라나 공항,코카,EC,OCC
프란시스코 데 사 카르네이루 공항,포르투,PT,OPO
프란시스코 사라비아 국제공항,토레온,MX,TRC
프랜시스타운 공항,프랜시스타운,BW,FRW
플레소 공항,자그레브,HR,ZAG
프랭크 밀로예 밀렌코비치 마릴리아 공항,마릴리아,BR,MII
프랭크 파이스 공항,홀구인,CU,HOG
프랑크푸르트 공항,프랑크푸르트,DE,FRA
프랑크푸르트 한 공항,라우첸하우젠,DE,HHN
프란스 카이시에포 공항,비악,ID,BIK
프란스 살레 레가 공항,루텡,ID,RTG
프란스 세다 공항,마우메레,ID,MOF
프레더릭턴 국제 공항,프레더릭턴,CA,YFC
프레즈노 요세미티 국제 공항,프레즈노,US,FAT
프라이데이 하버 공항,프라이데이 하버,US,FRD
프라이데이 하버 수상비행기 기지,프라이데이 하버,US,FBS
프리드먼 메모리얼 공항,헤일리-선 밸리,US,SUN
프리드리히스하펜 공항,프리드리히샤펜,DE,FDH
푸아모투 국제공항,누쿠알로파,TO,TBU
푸에르테 올림포 공항,푸에르테 올림포,PY,OLK
푸에르테벤투라 공항,푸에르테벤투라,ES,FUE
푸자이라 국제 공항,푸자이라,AE,FJR
후쿠에 공항,후쿠에,JP,FUJ
후쿠오카 공항,후쿠오카,JP,FUK
후쿠시마 공항,후쿠시마,JP,FKS
풀턴 카운티 공항,애틀랜타,US,FTY
푸나드후 공항,푸나두,MV,FND
푸나푸티 국제공항,푸나푸티,TV,FUN
푸투나 공항,푸투나 섬,VU,FTA
푸바물라 공항,푸바물라,MV,FVM
푸양 시관 공항,푸양,CN,FUG
푸위안 둥지 공항,푸위안,CN,FYJ
푸윈 콕토케이 공항,푸윤,CN,FYN
푸저우 창러 국제공항,푸저우,CN,FOC
푸쭈리 국제공항,푸줄리,AZ,FZL
가베스 마트마타 국제공항,가베스,TN,GAE
가브리엘 바르가스 산토스 공항,길들인,CO,TME
가흐사란 공항,가흐사란,IR,GCH
가프사 크사르 국제공항,가프사,TN,GAF
개갈 공항,강그라,IO,DHM
게인즈빌 공항,게인즈빌,US,GNV
옐리바레 공항,갈리바레,SE,GEV
골웨이 공항,골웨이,IE,GWY
가마르 말라모 공항,갈렐라,ID,GLX
감바 공항,감바,GA,GAX
감벨라 공항,감벨라,ET,GMB
갬벨 공항,갬벨,US,GAM
간 국제 공항,간 섬,MV,GAN
갠더 국제공항,한번 흘낏 봄,CA,YQX
갠지스 수상 비행장,갠지스 강,CA,YGG
간자 국제 공항,간자,AZ,GNJ
간난 샤허 공항,샤허,CN,GXH
간저우 황진 공항,간저우,CN,KOW
간저우 루이진 공항,루이진,CN,JRJ
가오 국제공항,가오,ML,GAQ
가라치네 공항,가라신,PA,GHE
가르다비아 공항,시르테,LY,SRX
가든 시티 공항,가든 시티,US,GCK
가든 포인트 공항,가든Pnt,AU,GPN
가리사 공항,가리사,KE,GAS
가루아 국제 공항,가루아,CM,GOU
가로웨 국제공항,가로웨,SO,GGR
게리/시카고 국제공항,게리,US,GYY
가르제 게사르 공항,가르제 카운티,CN,GZG
가티노 오타와 이그제큐티브 공항,가티노,CA,YND
가토카에 비행장,가토카에,SB,GTA
개트윅 공항,런던,GB,LGW
가우아 공항,가우아 섬,VU,ZGU
고탐 부다 공항,시다르타나가르,NP,BWA
가야 공항,가야,IO,GAY
가지안테프 오우젤리 국제공항,가지안테프,TR,GZT
가지파샤 알란야 공항,가지파사,TR,GZP
그단스크 레흐 바웬사 공항,그단스크,PL,GDN
그디니아 코사코보 공항,그디니아 코사코보,PL,n/a
게이타 공항,게이타,TZ,GIT
겔렌지크 공항,겔렌지크,RU,GDZ
겔레푸 공항,겔레푸,BT,GLU
게메나 공항,게메나,#N/A,GMA
제네나 공항,제네이나,SS,EGN
제너럴 베르나르도 오이긴스 공항,칠란,CL,YAI
제너럴 엔리케 모스코니 국제공항,코모도로 리바다비아,AR,CRD
제너럴 프란시스코 J. 무히카 국제공항,모렐리아,MX,MLM
제너럴 프란시스코 하비에르 미나 국제공항,탐피코,MX,TAM
제너럴 과달루페 빅토리아 국제공항,두랑고,MX,DGO
헤네랄 헤리베르토 자라 국제공항,베라크루스,MX,VER
제너럴 이그나시오 페스케이라 가르시아 국제공항,에르모시요,MX,HMO
제너럴 호세 안토니오 안조아테구이 국제공항,바르셀로나,VE,BLA
제너럴 호세 마리아 야녜스 국제공항,과이마스,MX,GYM
제너럴 후스토 호세 데 우르키사 공항,파라나,AR,PRA
제너럴 레이테 데 카스트로 공항,리오 베르데,BR,RVD
제너럴 레오바르도 C. 루이즈 국제공항,사카테카스,MX,ZCL
제너럴 루시오 블랑코 국제공항,레이노사,MX,REX
제너럴 마리아노 에스코베도 국제 공항,몬테레이,MX,MTY
제너럴 마리아노 마타모로스 공항,쿠에르나바카,MX,CVJ
제너럴 페드로 J. 멘데스 국제공항,시우다드 빅토리아,MX,CVM
제너럴 피코 공항,피코 장군,AR,GPO
제너럴 라파엘 부엘나 국제공항,마사틀란,MX,MZT
제너럴 로베르토 피에로 빌라로보스 국제공항,치와와,MX,CUU
제너럴 로돌포 산체스 타보아다 국제공항,멕시칼리,MX,MXL
제너럴 산토스 국제공항,제너럴 산토스,PH,GES
제너럴 세르반도 카날레스 국제공항,마타모로스,MX,MAM
제너럴 수디르만 공항,푸르워케르토,ID,PWL
제너럴 울피아노 파에즈 공항,살리나스,EC,SNC
제너럴 웨인 A. 다우닝 피오리아 국제공항,피오리아,US,PIA
제네바 공항,제네바,CH,GVA
제노아 크리스토포로 콜롬보 공항,제노아,IT,GOA
조지 공항,성 조지,ZA,GRJ
조지 베스트 벨파스트 시티 공항,벨파스트,GB,BHD
조지 부시 인터컨티넨털 공항,휴스턴,US,IAH
조지 F. L. 찰스 공항,세인트루시아,LC,SLU
제럴드 R. 포드 국제 공항,그랜드 래피즈,US,GRR
제럴턴,제럴드턴,CA,YGQ
제럴턴 공항,제럴드턴,AU,GET
헤라르도 토바르 로페스 공항,부에나벤투라,CO,BUN
게르만 올라노 공항,푸에르토 카레노,CO,PCR
게와얀타나 공항,라란투카,ID,LKA
가다메스 공항,가다메스,LY,LTD
가트 공항,산길,LY,GHT
가즈니 공항,가즈니,AF,GZI
그리스 공항,마스카라,DZ,MUW
지브롤터 국제공항,지브롤터,GI,GIB
길기트 공항,길기트,PK,GIL
길람공항,길람,CA,YGX
질레트 캠벨 카운티 공항,질레트,US,GCC
김해국제공항,부산,#N/A,PUS
김포국제공항,서울,#N/A,GMP
긴바타 공항,긴바타,AU,GBW
지로나 코스타 브라바 공항,지로나,ES,GRO
지루아 공항,포폰데타,PG,PNP
기즈번 공항,기스본,NZ,GIS
기세니 공항,기세니,RW,GYI
요구르 공항,Gjgur,IS,GJR
조아 헤이븐 공항,조아 헤이븐,CA,YHK
글레이셔 파크 국제공항,칼리스펠,US,FCA
글래드스톤 공항,글래드스턴,AU,GLT
글래스고 공항,글래스고,US,GGW
글래스고 공항,글래스고,GB,GLA
글래스고 프레스트윅 공항,글래스고,GB,PIK
글라우버 로샤 공항,비토리아 다 콩키스타,BR,VDC
글로스터셔 공항,글로스터,GB,GLO
고베르나도르 에드가르도 카스텔로 공항,비에드마,AR,VDM
고베르나도르 호라시오 구스만 국제공항,후후이,AR,JUJ
고데 공항,고데,ET,GDE
고도프레도 P. 라모스 공항,카티클란,PH,MPH
갓즈 레이크 내로우스 공항,갓스 레이크 내로스,CA,YGO
갓 리버 공항,신의 강,CA,ZGI
고게빅 아이언 카운티 공항,아이언우드,US,IWD
골드코스트 공항,골드 코스트,AU,OOL
골든 트라이앵글 공항,콜럼버스,US,GTR
골피토 공항,골피토,CR,GLF
골포 데 모로스키요 공항,톨루,CO,TLU
골무드 공항,거얼무,CN,GOQ
골로그 마친 공항,골로그,CN,GMQ
골로손 국제공항,라 세이바,HN,LCE
골로빈 공항,골로빈,US,GLV
고마 국제 공항,고마,#N/A,GOM
곰베 라완티 국제공항,곰베,NG,GMO
고멜 공항,고멜,BY,GME
곤다르 공항,곤다르,ET,GDQ
곤디아 공항,곤디아,IO,GDB
굿뉴스 공항,굿뉴스 베이,US,GNU
고락푸르 공항,고락푸르,IO,GOP
고든 공항,고든,US,GRN
고간 공항,고르간,IR,GBT
협곡 하버 수상 비행장,고지 하버,CA,YGE
고르나 오리야호비차 공항,고르나 오리아호비차,BG,GOZ
고르노 알타이스크 공항,고르노알타이스크,RU,RGK
고로카 공항,고로카,PG,GKA
고스토멜 안토노프 공항,키이우,UA,GML
주지사 딕스 셉트 로사도 공항,모소로,BR,MVF
엘 풀루메릴로 공항,멘도사,AR,MDZ
고브 공항,눌룬바이,AU,GOV
고베르나도르 호르헤 테세이라 데 올리베이라 국제공항,포르투 벨류,BR,PVH
거버너스하버 공항,주지사의 항구,BS,GHB
고야공항,고야,AR,OYA
그라브체보 공항,칼루가,RU,KLF
그라시아스 공항,감사합니다,HN,GAC
그라시오사 공항,그라시오사,PT,GRW
그레엄 로울리 비행장,크리스마스 크릭,AU,CKW
그란 카나리아 공항,라스팔마스,ES,LPA
그랜드 바하마 국제 공항,프리포트,BS,FPO
그랜드 캐니언 바 10 공항,휘트모어,US,GCT
그랜드캐니언 국립공원 공항,그랜드 캐년,US,GCN
그랜드캐니언 웨스트 공항,피치 스프링스,US,GCW
그랜드 센트럴 공항,요하네스버그,ZA,GCJ
그랜드 폭스 국제 공항,그랜드 포크스,US,GFK
워커 필드 공항,그랜드 정션,US,GJT
그랜드 프레리 공항,그랜드 프레리,CA,YQU
그랜트 카운티 공항,은,US,SVC
그랜트 카운티 국제 공항,모세스 호수,US,MWH
그랜틀리 아담스 국제공항,브리지타운,BB,BGI
그랜트 패스 공항,그랜츠 패스,US,GTP
회색 육군 비행장,타코마,US,GRF
그레이링 공항,그레이링,US,KGX
그라츠 공항,그라츠,AT,GRZ
그레이트 벤드 공항,그레이트 벤드,US,GBD
그레이트 폴스 국제 공항,그레이트 폴스,US,GTF
그레이트 하버 케이 공항,그레이트 하버 케이,BS,GHC
그레이터 빙엄턴 공항,빙엄턴,US,BGM
그레이터 멍크턴 국제공항,멍크턴,CA,YQM
그레이터 나탈 국제공항,나탈,BR,NAT
그레이터 로체스터 국제 공항,로체스터,US,ROC
그린브리어 밸리 공항,루이스버그,US,LWB
그린스버그 시립 공항,그린스버그,US,n/a
그린빌 스파르탄버그 국제공항,그린빌,US,GSP
그린웨이 사운드 워터 비행장,그린웨이 사운드,CA,YGN
그린우드 카운티 공항,그린우드,US,GRD
그린우드 르플로르 공항,그린우드,US,GWO
그레고리오 루페론 국제 공항,푸에르토플라타,DO,POP
그레고리 호수 수상비행기 기지,누와라 엘리야,LK,NUA
그르노블 이세르 공항,그르노블,FR,GNB
그리피스 국제 공항,로마,US,RME
그리피스 공항,그리피스,AU,GFF
그림지 공항,그림지,IS,GRY
그리즈 피오르드 공항,그리스 피오르드,CA,YGZ
그로드노 공항,그로드노,BY,GNA
흐로닝언 공항Eelde,그로닝겐,NL,GRQ
알리앵굴라 공항,그루트 아일란트,AU,GTE
그로세토 공항,그로세토,IT,GRS
그로즈니 공항,그로즈니,RU,GRV
그뤼에르 공항,그뤼에르,AU,GYZ
예테보리 란드베테르 공항,예테보리,SE,GOT
과달라하라 국제공항,과달라하라,MX,GDL
과나하 공항,과나하,HN,GJA
구아남비 공항,과남비,BR,GNM
광위안 판룽 공항,광위안,CN,GYS
광저우 바이윈 국제공항,광저우,CN,CAN
관타나모 로스 카노스 공항,관타나모,MX,SJD
구아피 공항,구아피,CO,GPI
과라니 국제 공항,시우다드 델 에스테,PY,AGT
과라파리 공항,구아라파리,BR,GUZ
과라푸아바 공항,구아라푸아바,BR,GPB
과르디아마리나자나르투 공항,푸에르토 윌리엄스,CL,WPU
과룰류스 고베르나도르 안드레 프랑코 몬투로 국제공항,상파울루,BR,GRU
과스두알리토 공항,과스두알리토,VE,GDO
과야라메린 공항,과야라메르인,BO,GYA
겔밈 공항,구엘밈,MA,GLN
게마르 공항,엘 웨드,DZ,ELU
건지 공항,숲,GG,GCI
게레로 네그로 공항,게레로 네그로,MX,GUB
구이린 량장 국제 공항,구이린,CN,KWL
기예르모 레온 발렌시아 공항,포파얀,CO,PPN
구이양 룽둥바오 국제공항,구이양,CN,KWE
걸프포트 빌럭시 국제공항,걸프포트,US,GPT
구루 공항,굴루,UG,ULU
거니슨 크레스티드 뷰트 공항,건니슨,US,GUC
군산 공항,군산,#N/A,KUV
구눙 빈탕 공항,옥시빌,ID,OKL
구라얏 국내선 공항,구라야트,SA,URY
구리엘 공항,구리엘,SO,GUO
거니 공항,알로타우,PG,GUR
구사우 비행장,구사우,NG,n/a
구스타프 3세 공항,생바르텔레미,#N/A,SBH
구스타보 아르툰두아가 파레데스 공항,플로렌시아,CO,FLA
구스타보 리조 공항,바라코아,CU,BCA
구스타보 로하스 피닐라 국제공항,산안드레스 섬,CO,ADZ
구스타프 공항,구스타부스,US,GST
구스티 샴시르 알람 공항,코타바루,ID,KBU
구위안 류판산 공항,구위안,CN,GYU
과다르 국제 공항,과다르,PK,GWD
광주공항,광주,#N/A,KWJ
귀넷 카운티 공항,로렌스빌,US,LZU
죄르페르 공항,죄르,HU,n/a
H. 아로에팔라 공항,셀라야르 제도,ID,KSR
에이치아산공항,삼핏,ID,SMQ
H. 하산 아로보에스만 공항,엔데,ID,ENE
불루툼방 공항,탄중 판단,ID,TJQ
하치조지마 공항,하치조지마,JP,HAC
헤이거즈타운 지역공항,헤이거스타운,US,HGR
하그포르스 공항,하그포스,SE,HFS
하이파 공항,하이파,IL,HFA
하이커우 메이란 국제공항,하이커우,CN,HAK
하일 공항,빗발,SA,HAS
하인즈 공항,헤인즈,US,HNS
학카리 윅세코바 공항,하카리,TR,YKO
하코다테 공항,하코다테,JP,HKD
